"Section","Key","Area","Scope","PolicyRef","Status","Notes"
"AdminScreen","sales_returns","Sales","country","GAP-SALE-DOC-01","OK","sr2 doc v2 parity pr2 | router:yes"
"AdminScreen","offers","Promotions","country","S4","OK"," | router:yes"
"AdminScreen","cart_promotions","Promotions","country","S4/S7","OK"," | router:yes"
"AdminScreen","cart_gift_promotions","Promotions","country","S4","OK"," | router:yes"
"AdminScreen","cart_bogo_promotions","Promotions","country","S4","OK"," | router:yes"
"AdminScreen","cart_combo_promotions","Promotions","country","S4/S22","OK"," | router:yes"
"AdminScreen","reports","SalesReports","country","S8","OK","Sales by delivery area | router:yes"
"AdminScreen","channel_analytics","SalesReports","country","admin-screens","OK"," | router:yes"
"AdminScreen","chart_of_accounts","GL","country","GAP-09","OK"," | router:yes"
"AdminScreen","gl_account_settings","GL","country","GAP-01","OK"," | router:yes"
"AdminScreen","journal_types","GL","country","v52-S1","OK"," | router:yes"
"AdminScreen","fiscal_years","GL","country","v52-S2","OK"," | router:yes"
"AdminScreen","edit_lock","GL","country","GL-MOVEMENTS","OK","Edit lock hub (replaces legacy gl_posting) | router:yes"
"AdminScreen","opening_balances","GL","country","GAP-06","OK"," | router:yes"
"AdminScreen","journal_entries","Vouchers","country","GAP-09","OK","journal_voucher_screen.php | router:yes"
"AdminScreen","receipt_voucher","Vouchers","country","GAP-09","OK"," | router:yes"
"AdminScreen","payment_voucher","Vouchers","country","GAP-09","OK"," | router:yes"
"AdminScreen","other_vouchers","Vouchers","country","GAP-09","OK"," | router:yes"
"AdminScreen","partner_customer_receipt","Vouchers","country","GAP-09","OK","partner_party_voucher_ui | router:yes"
"AdminScreen","partner_supplier_payment","Vouchers","country","GAP-09","OK"," | router:yes"
"AdminScreen","journal_voucher_reports","GLReports","country","GAP-09","OK"," | router:yes"
"AdminScreen","partner_account_statement","GLReports","country","GAP-09-j2","OK"," | router:yes"
"AdminScreen","financial_report","GLReports","country","ACCOUNTING-v2","OK"," | router:yes"
"AdminScreen","report_gl_account_monthly","GLReports","country","GAP-09-j2","OK"," | router:yes"
"AdminScreen","partner_reports","GLReports","country","admin-screens","OK"," | router:yes"
"AdminScreen","report_income_statement","GLReports","country","ACCOUNTING-v2","OK"," | router:yes"
"AdminScreen","report_trading_account","GLReports","country","ACCOUNTING-v2","OK","includes detail partial | router:yes"
"AdminScreen","report_pl_monthly","GLReports","country","GAP-09-j2","OK"," | router:yes"
"AdminScreen","report_pl_compare_years","GLReports","country","admin-screens","OK"," | router:yes"
"AdminScreen","report_trial_balance","GLReports","country","ACCOUNTING-v2","OK"," | router:yes"
"AdminScreen","company_settings","Settings","country","v52-S3","OK"," | router:yes"
"AdminScreen","company_documents","Settings","global","admin-screens","OK"," | router:yes"
"AdminScreen","logs","Settings","global","admin-screens","OK"," | router:yes"
"AdminScreen","countries","Settings","global","MULTICOUNTRY","OK","country_provision | router:yes"
"AdminScreen","admin_users","Settings","global","admin-screens","OK"," | router:yes"
"AdminScreen","channels","Market","country","S31/v55","OK","is_country_default | router:yes"
"AdminScreen","delivery_areas","Market","country","S8/S20","OK"," | router:yes"
"AdminScreen","storefront_hero","Market","country","GAP-03/S3","OK"," | router:yes"
"AdminScreen","storefront_merge_requests","Market","country","GAP-07/S15","OK"," | router:yes"
"StorefrontPage","home.php","Home+channel","","S3/S25-26/S31","OK",""
"StorefrontPage","product.php","Product","","S6","OK",""
"StorefrontPage","cart.php","Cart+checkout","","S1-4/S7/S18-22/S30","OK",""
"StorefrontPage","register.php","Register","","S8-11/S15/zero","OK",""
"StorefrontPage","verify-email.php","Email verify","","S9","OK",""
"StorefrontPage","track.php","Track order","","S12-14/S27","OK",""
"StorefrontPage","region-unavailable.php","Geo block","","S31","OK",""
"StorefrontAPI","api/orders/create-order.php","Create order","","S1/S16-18/S23","OK",""
"StorefrontAPI","api/orders/get-order.php","Track POST","","S12/S27","OK",""
"StorefrontAPI","api/orders/cancel-by-customer.php","Cancel","","S14","OK",""
"StorefrontAPI","api/orders/amend-order-items.php","Amend items","","S22","OK",""
"StorefrontAPI","api/orders/list-storefront-orders.php","Account orders","","S13","OK",""
"StorefrontAPI","api/orders/list-guest-storefront-orders.php","Guest orders","","S13","OK",""
"StorefrontAPI","api/orders/intake-status.php","Intake status","","S1","OK",""
"StorefrontAPI","api/orders/email-track-order-summary.php","Track email","","S13","OK",""
"StorefrontAPI","api/auth/request-email-verify.php","Email verify API","","S9-11/S15","OK",""
"StorefrontAPI","api/auth/apply-phone-merge.php","Phone merge","","S15/GAP-07","OK",""
"StorefrontAPI","api/cart/checkout-preview.php","Checkout preview","","S4/S7","OK",""
"StorefrontAPI","api/cart/stock-limits.php","Stock limits","","S5/S23","OK",""
"StorefrontAPI","api/products/get-products.php","Product list","","S6/v52-S9","OK",""
"StorefrontAPI","api/products/get-product.php","Product one","","S6","OK",""
"StorefrontAPI","api/products/get-categories.php","Categories","","5tax","OK",""
"StorefrontAPI","api/products/get-attribute-facets.php","Facets","","v52-S9","OK",""
"StorefrontAPI","api/products/variant-labels.php","Variant labels","","admin-screens","OK",""
"StorefrontEntry","index.php","Geo entry","","S31","OK","storefront_entry.php"
"StorefrontEntry","includes/storefront_geo.php","CF-IPCountry","","S31","OK",""
"StorefrontPolicy","zero","Phone country code","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S1","Cart+WhatsApp sale path","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S2","Guest vs registered","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S3","Price + hero/header copy","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S4","Promos BOGO/combo/gift","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S5","Out of stock UX","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S6","Channels vs stock","","STOREFRONT_POLICY","PARTIAL","Stock per-country (vision 13) not all paths"
"StorefrontPolicy","S7","Register teaser in cart","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S8","Register fields + areas","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S9","Email verification","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S10","Channel on register","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S11","Email per country","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S12","Who can track","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S13","Track detail level","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S14","Customer cancel","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S15","Phone merge","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S16","Order created when","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S17","Instant order number","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S18","Order phone","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S19","Guest email","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S20","Address/area","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S21","WhatsApp confirmation","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S22","Amend order","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S23","Stock deduct timing","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S24","Insufficient after order","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S25","Default channel","","STOREFRONT_POLICY","OK","PERF: do not break"
"StorefrontPolicy","S26","Channel switch","","STOREFRONT_POLICY","OK","PERF: cookie path"
"StorefrontPolicy","S27","Track share security","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S28","Reservation retention","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S29","No auto GL on online order","","STOREFRONT_POLICY","OK","Fulfillment posts later"
"StorefrontPolicy","S30","Partial cart submit","","STOREFRONT_POLICY","OK",""
"StorefrontPolicy","S31","Geo root /","","STOREFRONT_POLICY","OK",""
"GAP","GAP-01","gl_journal_type_rules per country","HIGH","ADMIN_GAPS","CLOSED",""
"GAP","GAP-02","provision journal_type remap","HIGH","ADMIN_GAPS","CLOSED",""
"GAP","GAP-03","storefront_hero scoped","MEDIUM","ADMIN_GAPS","CLOSED",""
"GAP","GAP-04","purchase GL country_id","MEDIUM","ADMIN_GAPS","CLOSED",""
"GAP","GAP-05","fiscal voucher fallback country","MEDIUM","ADMIN_GAPS","CLOSED",""
"GAP","GAP-06","opening_balances country","MEDIUM","ADMIN_GAPS","CLOSED",""
"GAP","GAP-07","phone merge per country","LOW","ADMIN_GAPS","CLOSED",""
"GAP","GAP-08","legacy copy_lines migrate","LOW","ADMIN_GAPS","CLOSED",""
"GAP","GAP-09","GL country bind j4 182 hits 0 HIGH 0 LOW","AUDIT","ADMIN_GAPS","CLOSED",""
"GAP","GAP-SALE-DOC-01","Sales invoice doc v2 INV-C/INV-O/sr2 phases 0-4","MEDIUM","ADMIN_GAPS","CLOSED",""
