"Section","Page","Area","CountryScope","PolicyRef","Status","InRouter","FilePath","Notes"
"AdminScreen","manual_order","Sales","country","GAP-SALE-DOC-01","OK","yes","admin/pages/manual_order.php","Legacy redirect to company_sales_invoice"
"AdminScreen","sales_invoices","Sales","country","GAP-SALE-DOC-01","OK","yes","admin/pages/sales_invoices.php","Legacy browse redirect to company_sales_invoice"
"AdminScreen","online_invoices","Sales","country","GAP-SALE-DOC-01","OK","yes","admin/pages/online_invoices.php","Legacy redirect to online_sales_invoice"
"AdminScreen","sales_returns","Sales","country","GAP-SALE-DOC-01","OK","yes","admin/pages/sales_returns.php","sr2 doc v2 parity pr2"
"AdminScreen","offers","Promotions","country","S4","OK","yes","admin/pages/offers.php",""
"AdminScreen","cart_promotions","Promotions","country","S4/S7","OK","yes","admin/pages/cart_promotions.php",""
"AdminScreen","cart_gift_promotions","Promotions","country","S4","OK","yes","admin/pages/cart_gift_promotions.php",""
"AdminScreen","cart_bogo_promotions","Promotions","country","S4","OK","yes","admin/pages/cart_bogo_promotions.php",""
"AdminScreen","cart_combo_promotions","Promotions","country","S4/S22","OK","yes","admin/pages/cart_combo_promotions.php",""
"AdminScreen","reports","SalesReports","country","S8","OK","yes","admin/pages/reports.php","Sales by delivery area"
"AdminScreen","channel_analytics","SalesReports","country","admin-screens","OK","yes","admin/pages/channel_analytics.php",""
"AdminScreen","chart_of_accounts","GL","country","GAP-09","OK","yes","admin/pages/chart_of_accounts.php",""
"AdminScreen","gl_account_settings","GL","country","GAP-01","OK","yes","admin/pages/gl_account_settings.php",""
"AdminScreen","journal_types","GL","country","v52-S1","OK","yes","admin/pages/journal_types.php",""
"AdminScreen","fiscal_years","GL","country","v52-S2","OK","yes","admin/pages/fiscal_years.php",""
"AdminScreen","edit_lock","GL","country","GL-MOVEMENTS","OK","yes","admin/pages/edit_lock.php","Edit lock hub (replaces legacy gl_posting)"
"AdminScreen","opening_balances","GL","country","GAP-06","OK","yes","admin/pages/opening_balances.php",""
"AdminScreen","journal_entries","Vouchers","country","GAP-09","OK","yes","admin/pages/journal_entries.php","journal_voucher_screen.php"
"AdminScreen","receipt_voucher","Vouchers","country","GAP-09","OK","yes","admin/pages/receipt_voucher.php",""
"AdminScreen","payment_voucher","Vouchers","country","GAP-09","OK","yes","admin/pages/payment_voucher.php",""
"AdminScreen","other_vouchers","Vouchers","country","GAP-09","OK","yes","admin/pages/other_vouchers.php",""
"AdminScreen","partner_customer_receipt","Vouchers","country","GAP-09","OK","yes","admin/pages/partner_customer_receipt.php","partner_party_voucher_ui"
"AdminScreen","partner_supplier_payment","Vouchers","country","GAP-09","OK","yes","admin/pages/partner_supplier_payment.php",""
"AdminScreen","journal_voucher_reports","GLReports","country","GAP-09","OK","yes","admin/pages/journal_voucher_reports.php",""
"AdminScreen","partner_account_statement","GLReports","country","GAP-09-j2","OK","yes","admin/pages/partner_account_statement.php",""
"AdminScreen","financial_report","GLReports","country","ACCOUNTING-v2","OK","yes","admin/pages/financial_report.php",""
"AdminScreen","report_gl_account_monthly","GLReports","country","GAP-09-j2","OK","yes","admin/pages/report_gl_account_monthly.php",""
"AdminScreen","partner_reports","GLReports","country","admin-screens","OK","yes","admin/pages/partner_reports.php",""
"AdminScreen","report_income_statement","GLReports","country","ACCOUNTING-v2","OK","yes","admin/pages/report_income_statement.php",""
"AdminScreen","report_trading_account","GLReports","country","ACCOUNTING-v2","OK","yes","admin/pages/report_trading_account.php","includes detail partial"
"AdminScreen","report_pl_monthly","GLReports","country","GAP-09-j2","OK","yes","admin/pages/report_pl_monthly.php",""
"AdminScreen","report_pl_compare_years","GLReports","country","admin-screens","OK","yes","admin/pages/report_pl_compare_years.php",""
"AdminScreen","report_trial_balance","GLReports","country","ACCOUNTING-v2","OK","yes","admin/pages/report_trial_balance.php",""
"AdminScreen","company_settings","Settings","country","v52-S3","OK","yes","admin/pages/company_settings.php",""
"AdminScreen","company_documents","Settings","global","admin-screens","OK","yes","admin/pages/company_documents.php",""
"AdminScreen","logs","Settings","global","admin-screens","OK","yes","admin/pages/logs.php",""
"AdminScreen","countries","Settings","global","MULTICOUNTRY","OK","yes","admin/pages/countries.php","country_provision"
"AdminScreen","admin_users","Settings","global","admin-screens","OK","yes","admin/pages/admin_users.php",""
"AdminScreen","channels","Market","country","S31/v55","OK","yes","admin/pages/channels.php","is_country_default"
"AdminScreen","delivery_areas","Market","country","S8/S20","OK","yes","admin/pages/delivery_areas.php",""
"AdminScreen","storefront_hero","Market","country","GAP-03/S3","OK","yes","admin/pages/storefront_hero.php",""
"AdminScreen","storefront_merge_requests","Market","country","GAP-07/S15","OK","yes","admin/pages/storefront_merge_requests.php",""
