"Table","File","Line","Risk","Note","Snippet"
"accounts","admin/api/accounts/save-root-setup.php","109","OK","Explicit country filter or wrapper","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIMIT 1');"
"accounts","admin/api/accounts/save-root-setup.php","112","LOW","Review — entity-scoped or legacy path","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"accounts","admin/api/accounts/search-leaves.php","33","LOW","Review — entity-scoped or legacy path","$conditions[] = 'EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = a.id)';"
"accounts","admin/api/accounts/search-leaves.php","39","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE ' . $where;"
"accounts","admin/api/accounts/search-leaves.php","80","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE 1=1';"
"accounts","admin/api/accounts/search-leaves.php","131","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE ' . $leafWhere;"
"accounts","admin/api/accounts/suggest-code.php","21","OK","BY PK or fiscal_year (per-country FY)","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/journal/manage.php","163","OK","BY PK or fiscal_year (per-country FY)","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/journal/manage.php","321","OK","BY PK or fiscal_year (per-country FY)","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/journal/manage.php","430","LOW","Review — entity-scoped or legacy path","INNER JOIN accounts a ON a.id = jl.account_id"
"accounts","admin/api/settings/gl-accounts.php","28","LOW","Review — entity-scoped or legacy path","'SELECT id, name, code FROM accounts WHERE 1=1' . $acctFilter['sql']"
"accounts","admin/api/settings/gl-accounts.php","35","LOW","Review — entity-scoped or legacy path","'SELECT id, name, code FROM accounts ORDER BY COALESCE(code, \'\') ASC, name ASC'"
"accounts","admin/api/settings/gl-accounts.php","135","OK","BY PK or fiscal_year (per-country FY)","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/api/settings/gl-accounts.php","149","LOW","Review — entity-scoped or legacy path","$chkHasChildren = $pdo->prepare('SELECT 1 FROM accounts WHERE parent_id = ? LIMIT 1');"
"accounts","admin/api/suppliers/print-card.php","47","OK","BY PK or fiscal_year (per-country FY)","$accSt = $pdo->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/accounting_reports_index.php","22","LOW","Review — entity-scoped or legacy path","$acctIdxSql = ""SELECT COUNT(*) FROM accounts a WHERE $acctIdxLw"";"
"accounts","admin/pages/financial_report.php","35","LOW","Review — entity-scoped or legacy path","$acctSql = 'SELECT id, name, code FROM accounts WHERE 1=1';"
"accounts","admin/pages/financial_report.php","61","LOW","Review — entity-scoped or legacy path","$frCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $frPostingLeafWhere"";"
"accounts","admin/pages/fiscal_years.php","34","OK","BY PK or fiscal_year (per-country FY)","$st = $pdoConn->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/gl_account_settings.php","37","LOW","Review — entity-scoped or legacy path","'SELECT a.id, a.name, a.code FROM accounts a WHERE 1=1',"
"accounts","admin/pages/gl_posting.php","23","LOW","Review — entity-scoped or legacy path","$glCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $glPlw"";"
"accounts","admin/pages/journal_voucher_reports.php","77","LOW","Review — entity-scoped or legacy path","'SELECT ' . $accCols . ' FROM accounts a WHERE 1=1 ORDER BY COALESCE(a.code, \'\'), a.name',"
"accounts","admin/pages/journal_voucher_screen.php","27","OK","BY PK or fiscal_year (per-country FY)","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/opening_balances.php","140","LOW","Review — entity-scoped or legacy path","INNER JOIN accounts a ON a.id = jl.account_id"
"accounts","admin/pages/partner_account_statement.php","96","LOW","Review — entity-scoped or legacy path","$pasAcctSql = ""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere"";"
"accounts","admin/pages/partner_party_voucher_ui.php","39","OK","BY PK or fiscal_year (per-country FY)","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_party_voucher_ui.php","55","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_party_voucher_ui.php","84","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_party_voucher_ui.php","110","LOW","Review — entity-scoped or legacy path","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"accounts","admin/pages/partner_party_voucher_ui.php","175","LOW","Review — entity-scoped or legacy path","$ppvCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $ppvLw"";"
"accounts","admin/pages/partner_reports.php","27","LOW","Review — entity-scoped or legacy path","$prPostingLeafCt = (int) $pdo->query(""SELECT COUNT(*) FROM accounts a WHERE $prLeafWhere"")->fetchColumn();"
"accounts","admin/pages/partner_supplier_payment.php","29","OK","BY PK or fiscal_year (per-country FY)","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_supplier_payment.php","51","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/partner_supplier_payment.php","73","LOW","Review — entity-scoped or legacy path","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"accounts","admin/pages/purchase_returns.php","76","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/purchase_returns.php","101","LOW","Review — entity-scoped or legacy path","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"accounts","admin/pages/purchase_returns.php","160","OK","Explicit country filter or wrapper","foreach (orange_accounts_fetch($pdo, 'SELECT a.id, a.code, a.name FROM accounts a WHERE 1=1 ORDER BY a.code ASC', [], 'a') as $r) {"
"accounts","admin/pages/purchases.php","66","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/purchases.php","88","LOW","Review — entity-scoped or legacy path","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"accounts","admin/pages/purchases.php","134","LOW","Review — entity-scoped or legacy path","$pv2AcctSql = 'SELECT id, code, name FROM accounts WHERE 1=1';"
"accounts","admin/pages/report_gl_account_monthly.php","21","LOW","Review — entity-scoped or legacy path","""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere ORDER BY COALESCE(a.code, ''), a.name"","
"accounts","admin/pages/report_gl_account_monthly.php","42","OK","BY PK or fiscal_year (per-country FY)","$stOne = $pdo->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","admin/pages/report_pl_compare_years.php","20","OK","Explicit country filter or wrapper","$accounts = orange_accounts_fetch($pdo, 'SELECT a.id FROM accounts a WHERE 1=1 ORDER BY COALESCE(a.code, \'\'), a.name', [], 'a');"
"accounts","admin/pages/report_pl_monthly.php","134","LOW","Review — entity-scoped or legacy path","""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere ORDER BY COALESCE(a.code, ''), a.name"","
"accounts","admin/pages/report_trial_balance.php","96","LOW","Review — entity-scoped or legacy path","$tbAcctSql = ""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere"";"
"accounts","admin/pages/suppliers.php","34","LOW","Review — entity-scoped or legacy path","'SELECT id FROM accounts WHERE parent_id IN (' . $apPh . ') AND id NOT IN (' . $apPh . ')'"
"accounts","admin/pages/suppliers.php","49","LOW","Review — entity-scoped or legacy path","$acctSql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE a.id IN (' . $apPh . ') AND (' . $lw . ')';"
"accounts","admin/pages/suppliers.php","52","LOW","Review — entity-scoped or legacy path","$acctSql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE ' . $lw;"
"accounts","includes/account_tree.php","33","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","111","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","141","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","236","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT ' . $sel . ' FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","459","LOW","Review — entity-scoped or legacy path","$sql = ""SELECT COUNT(*) FROM accounts a WHERE $lw"";"
"accounts","includes/account_tree.php","517","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","544","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","592","LOW","Review — entity-scoped or legacy path","$parts[] = ""NOT EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = {$alias}.id)"";"
"accounts","includes/account_tree.php","626","LOW","Review — entity-scoped or legacy path","$pq = $pdo->query('SELECT DISTINCT parent_id FROM accounts WHERE COALESCE(parent_id, 0) > 0');"
"accounts","includes/account_tree.php","682","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT a.id, a.code FROM accounts a WHERE a.id IN (' . $ph . ') AND ' . orange_accounts_posting_leaf_where_sql($pdo, 'a');"
"accounts","includes/account_tree.php","709","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT a.code FROM accounts a WHERE a.id = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, 'a') . ' LIMIT 1';"
"accounts","includes/account_tree.php","734","LOW","Review — entity-scoped or legacy path","$rootSql = ""SELECT code FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)"
"accounts","includes/account_tree.php","759","OK","BY PK or fiscal_year (per-country FY)","$pst = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/account_tree.php","770","LOW","Review — entity-scoped or legacy path","'SELECT code FROM accounts WHERE parent_id = ? AND code IS NOT NULL AND code <> \'\''"
"accounts","includes/account_tree.php","876","LOW","Review — entity-scoped or legacy path","$ch = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE parent_id = ?');"
"accounts","includes/account_tree.php","935","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT ' . $cols . ' FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)';"
"accounts","includes/accounting_report_mapping.php","52","LOW","Review — entity-scoped or legacy path","$st = $pdo->prepare('SELECT ' . $cols . ' FROM accounts a' . $join . ' WHERE a.id IN (' . $ph . ')');"
"accounts","includes/catalog_schema.php","504","LOW","Review — entity-scoped or legacy path","$cnt = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"accounts","includes/catalog_schema.php","542","LOW","Review — entity-scoped or legacy path","$cnt2 = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"accounts","includes/countries.php","669","OK","Explicit country filter or wrapper","$st = $pdo->prepare('SELECT country_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/countries.php","689","OK","Explicit country filter or wrapper","$st = $pdo->prepare('SELECT country_id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/countries.php","712","OK","Explicit country filter or wrapper","'SELECT id FROM accounts WHERE id IN (' . $ph . ') AND country_id = ?'"
"accounts","includes/country_provision.php","52","OK","Explicit country filter or wrapper","$st = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE country_id = ?');"
"accounts","includes/country_provision.php","193","OK","Explicit country filter or wrapper","$stCnt = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE country_id = ?');"
"accounts","includes/country_provision.php","201","OK","Explicit country filter or wrapper","$stSrc = $pdo->prepare('SELECT * FROM accounts WHERE country_id = ? ORDER BY id ASC');"
"accounts","includes/financial_report_breakdown.php","234","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT ' . $cols . ' FROM accounts a' . $join . ' WHERE ' . $lw;"
"accounts","includes/gl_pending_movements.php","660","LOW","Review — entity-scoped or legacy path","INNER JOIN accounts a ON a.id = jl.account_id"
"accounts","includes/gl_pending_movements.php","702","LOW","Review — entity-scoped or legacy path","$st = $pdo->query('SELECT id, COALESCE(code, \'\') AS code, name FROM accounts WHERE id IN (' . $in . ')');"
"accounts","includes/gl_pending_movements.php","798","OK","BY PK or fiscal_year (per-country FY)","$chk = $pdo->prepare('SELECT COALESCE(code, \'\') AS code, name FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/gl_settings.php","507","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT a.id FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, 'a');"
"accounts","includes/journal_voucher.php","486","OK","BY PK or fiscal_year (per-country FY)","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/journal_voucher.php","723","OK","BY PK or fiscal_year (per-country FY)","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","includes/year_end_close.php","93","OK","BY PK or fiscal_year (per-country FY)","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"accounts","scripts/maintenance_empty_accounts_reset_autoincrement.sql","32","LOW","Review — entity-scoped or legacy path","DELETE FROM accounts;"
"accounts","scripts/migrations/010_remove_analytical_coa_root.sql","3","MAINT","Migration/maintenance script","DELETE FROM accounts"
"accounts","scripts/migrations/010_remove_analytical_coa_root.sql","6","MAINT","Migration/maintenance script","AND NOT EXISTS (SELECT 1 FROM accounts AS c WHERE c.parent_id = accounts.id);"
"accounts","scripts/migrations/011_ensure_off_balance_coa_root.sql","18","MAINT","Migration/maintenance script","FROM accounts AS a"
"accounts","scripts/mysql-strong-integrity.sql","25","MAINT","Migration/maintenance script","--   LEFT JOIN accounts a ON a.id = jl.account_id WHERE jl.account_id IS NOT NULL AND a.id IS NULL;"
"journal_vouchers","admin/api/journal/manage.php","395","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","admin/api/journal/manage.php","526","OK","BY PK or fiscal_year (per-country FY)","'SELECT id, fiscal_year_id, voucher_serial, journal_serial_bucket, entry_type FROM journal_vouchers WHERE id = ? LIMIT 1'"
"journal_vouchers","admin/api/journal/manage.php","543","OK","BY PK or fiscal_year (per-country FY)","'SELECT COUNT(*) FROM journal_vouchers jv WHERE ' . $etFragJv . ' AND jv.fiscal_year_id = ? AND jv.journal_serial_bucket = ?'"
"journal_vouchers","admin/api/journal/manage.php","552","LOW","Review — entity-scoped or legacy path","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv"
"journal_vouchers","admin/api/journal/manage.php","559","LOW","Review — entity-scoped or legacy path","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv"
"journal_vouchers","admin/api/journal/manage.php","566","LOW","Review — entity-scoped or legacy path","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv"
"journal_vouchers","admin/api/journal/manage.php","576","LOW","Review — entity-scoped or legacy path","'SELECT jv.id FROM journal_vouchers jv WHERE ' . $etFragJv"
"journal_vouchers","admin/api/journal/manage.php","588","LOW","Review — entity-scoped or legacy path","$cSt = $pdo->prepare('SELECT COUNT(*) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","595","LOW","Review — entity-scoped or legacy path","$q = $pdo->prepare('SELECT COALESCE(MIN(id), 0) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","599","LOW","Review — entity-scoped or legacy path","$q = $pdo->prepare('SELECT COALESCE(MAX(id), 0) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","604","LOW","Review — entity-scoped or legacy path","$q = $pdo->prepare('SELECT COALESCE(MAX(id), 0) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","608","LOW","Review — entity-scoped or legacy path","$q = $pdo->prepare('SELECT id FROM journal_vouchers WHERE ' . $etFrag . ' AND id < ? ORDER BY id DESC LIMIT 1');"
"journal_vouchers","admin/api/journal/manage.php","615","LOW","Review — entity-scoped or legacy path","$q = $pdo->prepare('SELECT COALESCE(MIN(id), 0) FROM journal_vouchers WHERE ' . $etFrag);"
"journal_vouchers","admin/api/journal/manage.php","619","LOW","Review — entity-scoped or legacy path","$q = $pdo->prepare('SELECT id FROM journal_vouchers WHERE ' . $etFrag . ' AND id > ? ORDER BY id ASC LIMIT 1');"
"journal_vouchers","admin/api/journal/manage.php","733","LOW","Review — entity-scoped or legacy path","FROM journal_vouchers jv"
"journal_vouchers","admin/api/journal/manage.php","766","OK","BY PK or fiscal_year (per-country FY)","$stmt = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","admin/api/journal/manage.php","850","OK","BY PK or fiscal_year (per-country FY)","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$id]);"
"journal_vouchers","admin/api/opening_balances/delete.php","36","OK","BY PK or fiscal_year (per-country FY)","$ex = $pdo->prepare('SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ?');"
"journal_vouchers","admin/api/opening_balances/delete.php","40","OK","BY PK or fiscal_year (per-country FY)","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int) $oldId]);"
"journal_vouchers","admin/api/opening_balances/save.php","76","OK","BY PK or fiscal_year (per-country FY)","$ex = $pdo->prepare('SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ?');"
"journal_vouchers","admin/api/opening_balances/save.php","79","OK","BY PK or fiscal_year (per-country FY)","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int)$oldId]);"
"journal_vouchers","admin/api/partners/customer-receipt-list.php","21","LOW","Review — entity-scoped or legacy path","""SELECT jv.id FROM journal_vouchers jv WHERE jv.entry_type = 'customer_receipt'"""
"journal_vouchers","admin/api/partners/customer-receipt-search.php","53","LOW","Review — entity-scoped or legacy path","FROM journal_vouchers v"
"journal_vouchers","admin/api/partners/supplier-payment-delete.php","24","OK","BY PK or fiscal_year (per-country FY)","""SELECT id FROM journal_vouchers WHERE id = ? AND entry_type = 'supplier_payment' LIMIT 1"""
"journal_vouchers","admin/api/partners/supplier-payment-delete.php","39","OK","BY PK or fiscal_year (per-country FY)","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$voucherId]);"
"journal_vouchers","admin/api/partners/supplier-payment-list.php","21","LOW","Review — entity-scoped or legacy path","""SELECT jv.id FROM journal_vouchers jv WHERE jv.entry_type = 'supplier_payment'"""
"journal_vouchers","admin/api/partners/supplier-payment-load.php","23","OK","BY PK or fiscal_year (per-country FY)","'SELECT id, voucher_date, reference, description, entry_type FROM journal_vouchers WHERE id = ? AND entry_type = ? LIMIT 1'"
"journal_vouchers","admin/api/partners/supplier-payment-search.php","53","LOW","Review — entity-scoped or legacy path","FROM journal_vouchers v"
"journal_vouchers","admin/pages/financial_report.php","95","LOW","Review — entity-scoped or legacy path","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/journal_voucher_reports.php","42","LOW","Review — entity-scoped or legacy path","$sqlDist = 'SELECT DISTINCT jv.entry_type FROM journal_vouchers jv WHERE 1=1' . $jvCountryBindDist['sql']"
"journal_vouchers","admin/pages/journal_voucher_reports.php","86","LOW","Review — entity-scoped or legacy path","$sql = 'SELECT * FROM journal_vouchers jv"
"journal_vouchers","admin/pages/opening_balances.php","113","OK","BY PK or fiscal_year (per-country FY)","'SELECT id FROM journal_vouchers WHERE fiscal_year_id = ? AND entry_type = ? ORDER BY id DESC LIMIT 1'"
"journal_vouchers","admin/pages/opening_balances.php","119","OK","BY PK or fiscal_year (per-country FY)","'SELECT voucher_date, reference, description, document_entered_at, created_at FROM journal_vouchers WHERE id = ? LIMIT 1'"
"journal_vouchers","admin/pages/partner_account_statement.php","221","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","admin/pages/partner_account_statement.php","236","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","admin/pages/partner_account_statement.php","267","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/partner_account_statement.php","282","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/report_gl_account_monthly.php","138","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/report_gl_account_monthly.php","157","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","admin/pages/report_pl_monthly.php","212","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/financial_report_breakdown.php","46","LOW","Review — entity-scoped or legacy path","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","includes/financial_report_breakdown.php","90","LOW","Review — entity-scoped or legacy path","INNER JOIN journal_vouchers jv ON jv.id = ps.voucher_id"
"journal_vouchers","includes/financial_report_breakdown.php","130","LOW","Review — entity-scoped or legacy path","FROM journal_vouchers jv"
"journal_vouchers","includes/financial_report_breakdown.php","174","LOW","Review — entity-scoped or legacy path","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/fiscal_years.php","175","OK","BY PK or fiscal_year (per-country FY)","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE fiscal_year_id = ? LIMIT 1');"
"journal_vouchers","includes/gl_account_aging.php","110","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/gl_account_aging.php","120","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","INNER JOIN journal_vouchers jv ON jv.id = jl.voucher_id"
"journal_vouchers","includes/gl_pending_movements.php","606","OK","BY PK or fiscal_year (per-country FY)","$vSt = $pdo->prepare('SELECT * FROM journal_vouchers WHERE id = ? FOR UPDATE');"
"journal_vouchers","includes/gl_pending_movements.php","629","OK","BY PK or fiscal_year (per-country FY)","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([$vid]);"
"journal_vouchers","includes/gl_pending_movements.php","841","LOW","Review — entity-scoped or legacy path","$st = $pdo->prepare('SELECT 1 FROM journal_vouchers WHERE reference LIKE ? LIMIT 1');"
"journal_vouchers","includes/journal_voucher.php","42","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","$sql = 'SELECT COALESCE(MAX(jv.id), 0) + 1 FROM journal_vouchers jv WHERE 1=1' . $bind['sql'];"
"journal_vouchers","includes/journal_voucher.php","92","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","$st = $pdo->prepare('SELECT country_id FROM journal_vouchers WHERE id = ? LIMIT 1');"
"journal_vouchers","includes/journal_voucher.php","110","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","'SELECT * FROM journal_vouchers WHERE reference = ?' . $bind['sql'] . ' ORDER BY id DESC LIMIT 1'"
"journal_vouchers","includes/journal_voucher.php","151","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","$pdo->prepare('DELETE FROM journal_vouchers WHERE id = ?')->execute([(int) $v['id']]);"
"journal_vouchers","includes/journal_voucher.php","203","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","'SELECT reference FROM journal_vouchers WHERE reference LIKE ? ORDER BY id ASC'"
"journal_vouchers","includes/journal_voucher.php","325","OK","GAP-09 j2: orange_gl_voucher_country_bind on jv JOIN/reference","'SELECT COALESCE(MAX(voucher_serial), 0) + 1 FROM journal_vouchers WHERE fiscal_year_id = ? AND journal_serial_bucket = ?'"
