"Risk","Table","File","Line","Snippet"
"MED_REVIEW","accounts","_compare_old_copy/orange - Copy/includes/gl_pending_movements.php","500","$st = $pdo->query('SELECT id, COALESCE(code, \'\') AS code, name FROM accounts WHERE id IN (' . $in ..."
"BY_ID","accounts","_compare_old_copy/orange - Copy/includes/gl_pending_movements.php","595","$chk = $pdo->prepare('SELECT COALESCE(code, \'\') AS code, name FROM accounts WHERE id = ? LIMIT 1')..."
"MED_REVIEW","accounts","_compare_old_copy/orange - Copy/includes/gl_settings.php","235","'SELECT a.id FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, '..."
"BY_ID","accounts","_compare_old_copy/orange - Copy/includes/journal_voucher.php","191","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","_compare_old_copy/orange - Copy/includes/year_end_close.php","87","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"MAINT","accounts","_compare_old_copy/orange - Copy/scripts/mysql-strong-integrity.sql","25","--   LEFT JOIN accounts a ON a.id = jl.account_id WHERE jl.account_id IS NOT NULL AND a.id IS NULL;"
"BY_ID","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/delete-node.php","23","$st = $pdo->prepare('SELECT id, name, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/delete-node.php","41","$pdo->prepare('DELETE FROM accounts WHERE id = ?')->execute([$id]);"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/lookup-by-code.php","32","$sql = 'SELECT a.id, a.name, a.code FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting..."
"BY_ID","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-node.php","41","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-node.php","68","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"BY_ID","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-node.php","102","$exSt = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-node.php","113","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-root-setup.php","40","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"BY_ID","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-root-setup.php","72","$exSt = $pdo->prepare('SELECT id, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/save-root-setup.php","87","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/search-leaves.php","29","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE ' . orange_accounts_posting_leaf_where_sql($pdo, ..."
"BY_ID","accounts","_compare_zip_old/orange - Copy/admin/api/accounts/suggest-code.php","20","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","_compare_zip_old/orange - Copy/admin/api/journal/manage.php","64","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","_compare_zip_old/orange - Copy/admin/api/journal/manage.php","125","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/api/settings/gl-accounts.php","21","'SELECT id, name, code FROM accounts ORDER BY COALESCE(code, \'\') ASC, name ASC'"
"BY_ID","accounts","_compare_zip_old/orange - Copy/admin/api/settings/gl-accounts.php","77","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/pages/financial_report.php","28","$accounts = $pdo->query('SELECT id, name, code FROM accounts ORDER BY COALESCE(code, \'\'), name')->..."
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/pages/gl_account_settings.php","13","'SELECT id, name, code FROM accounts ORDER BY COALESCE(code, \'\'), name ASC'"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/admin/pages/journal_entries.php","21","$accounts = $pdo->query('SELECT ' . $accCols . ' FROM accounts ORDER BY COALESCE(code, \'\'), name')..."
"IMPLICIT_ENTITY","accounts","_compare_zip_old/orange - Copy/admin/pages/opening_balances.php","33","INNER JOIN accounts a ON a.id = jl.account_id"
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","31","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","109","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","139","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","190","$rows = $pdo->query('SELECT ' . $cols . ' FROM accounts ORDER BY COALESCE(code, \'\'), id')->fetchAl..."
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","237","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","264","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","312","$parts[] = ""NOT EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = {$alias}.id)"";"
"LOW_TREE","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","346","$pq = $pdo->query('SELECT DISTINCT parent_id FROM accounts WHERE COALESCE(parent_id, 0) > 0');"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","402","$sql = 'SELECT a.id, a.code FROM accounts a WHERE a.id IN (' . $ph . ') AND ' . orange_accounts_post..."
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","429","$sql = 'SELECT a.code FROM accounts a WHERE a.id = ? AND ' . orange_accounts_posting_leaf_where_sql(..."
"LOW_TREE","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","455","""SELECT code FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)"
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","469","$pst = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","480","'SELECT code FROM accounts WHERE parent_id = ? AND code IS NOT NULL AND code <> \'\''"
"LOW_TREE","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","586","$ch = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE parent_id = ?');"
"LOW_TREE","accounts","_compare_zip_old/orange - Copy/includes/account_tree.php","645","$sql = 'SELECT ' . $cols . ' FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)'"
"LOW_TREE","accounts","_compare_zip_old/orange - Copy/includes/catalog_schema.php","79","$cnt = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"LOW_TREE","accounts","_compare_zip_old/orange - Copy/includes/catalog_schema.php","117","$cnt2 = (int) $pdo->query('SELECT COUNT(*) FROM accounts')->fetchColumn();"
"IMPLICIT_ENTITY","accounts","_compare_zip_old/orange - Copy/includes/gl_pending_movements.php","458","INNER JOIN accounts a ON a.id = jl.account_id"
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/includes/gl_pending_movements.php","500","$st = $pdo->query('SELECT id, COALESCE(code, \'\') AS code, name FROM accounts WHERE id IN (' . $in ..."
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/gl_pending_movements.php","595","$chk = $pdo->prepare('SELECT COALESCE(code, \'\') AS code, name FROM accounts WHERE id = ? LIMIT 1')..."
"MED_REVIEW","accounts","_compare_zip_old/orange - Copy/includes/gl_settings.php","235","'SELECT a.id FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting_leaf_where_sql($pdo, '..."
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/journal_voucher.php","191","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","_compare_zip_old/orange - Copy/includes/year_end_close.php","87","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"MAINT","accounts","_compare_zip_old/orange - Copy/scripts/mysql-strong-integrity.sql","25","--   LEFT JOIN accounts a ON a.id = jl.account_id WHERE jl.account_id IS NOT NULL AND a.id IS NULL;"
"BY_ID","accounts","admin/api/accounts/delete-node.php","24","$st = $pdo->prepare('SELECT id, name, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","admin/api/accounts/delete-node.php","47","$pdo->prepare('DELETE FROM accounts WHERE id = ?')->execute([$id]);"
"MED_REVIEW","accounts","admin/api/accounts/lookup-by-code.php","34","$sql = 'SELECT a.id, a.name, a.code FROM accounts a WHERE a.code = ? AND ' . orange_accounts_posting..."
"BY_ID","accounts","admin/api/accounts/save-node.php","64","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"SCOPED_EXPLICIT","accounts","admin/api/accounts/save-node.php","101","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');"
"MED_REVIEW","accounts","admin/api/accounts/save-node.php","104","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"BY_ID","accounts","admin/api/accounts/save-node.php","155","$exSt = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"SCOPED_EXPLICIT","accounts","admin/api/accounts/save-node.php","176","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIMIT 1'..."
"MED_REVIEW","accounts","admin/api/accounts/save-node.php","179","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"SCOPED_EXPLICIT","accounts","admin/api/accounts/save-root-setup.php","44","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? LIMIT 1');"
"MED_REVIEW","accounts","admin/api/accounts/save-root-setup.php","47","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? LIMIT 1');"
"BY_ID","accounts","admin/api/accounts/save-root-setup.php","84","$exSt = $pdo->prepare('SELECT id, code, parent_id FROM accounts WHERE id = ? LIMIT 1');"
"SCOPED_EXPLICIT","accounts","admin/api/accounts/save-root-setup.php","109","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND country_id = ? AND id <> ? LIMIT 1'..."
"MED_REVIEW","accounts","admin/api/accounts/save-root-setup.php","112","$dup = $pdo->prepare('SELECT id FROM accounts WHERE code = ? AND id <> ? LIMIT 1');"
"LOW_TREE","accounts","admin/api/accounts/search-leaves.php","33","$conditions[] = 'EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = a.id)';"
"MED_REVIEW","accounts","admin/api/accounts/search-leaves.php","39","$sql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE ' . $where;"
"MED_REVIEW","accounts","admin/api/accounts/search-leaves.php","80","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE 1=1';"
"MED_REVIEW","accounts","admin/api/accounts/search-leaves.php","131","$sql = 'SELECT ' . $cols . ' FROM accounts a WHERE ' . $leafWhere;"
"BY_ID","accounts","admin/api/accounts/suggest-code.php","21","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","admin/api/journal/manage.php","163","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","admin/api/journal/manage.php","321","$chk = $pdo->prepare('SELECT is_group FROM accounts WHERE id = ? LIMIT 1');"
"IMPLICIT_ENTITY","accounts","admin/api/journal/manage.php","430","INNER JOIN accounts a ON a.id = jl.account_id"
"SCOPED_EXPLICIT","accounts","admin/api/settings/gl-accounts.php","28","'SELECT id, name, code FROM accounts WHERE 1=1' . $acctFilter['sql']"
"MED_REVIEW","accounts","admin/api/settings/gl-accounts.php","35","'SELECT id, name, code FROM accounts ORDER BY COALESCE(code, \'\') ASC, name ASC'"
"BY_ID","accounts","admin/api/settings/gl-accounts.php","135","$chk = $pdo->prepare('SELECT id FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","admin/api/settings/gl-accounts.php","149","$chkHasChildren = $pdo->prepare('SELECT 1 FROM accounts WHERE parent_id = ? LIMIT 1');"
"BY_ID","accounts","admin/api/suppliers/print-card.php","47","$accSt = $pdo->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","admin/pages/accounting_reports_index.php","22","$acctIdxSql = ""SELECT COUNT(*) FROM accounts a WHERE $acctIdxLw"";"
"MED_REVIEW","accounts","admin/pages/financial_report.php","35","$acctSql = 'SELECT id, name, code FROM accounts WHERE 1=1';"
"LOW_TREE","accounts","admin/pages/financial_report.php","61","$frCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $frPostingLeafWhere"";"
"BY_ID","accounts","admin/pages/fiscal_years.php","34","$st = $pdoConn->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"MED_REVIEW","accounts","admin/pages/gl_account_settings.php","37","'SELECT a.id, a.name, a.code FROM accounts a WHERE 1=1',"
"LOW_TREE","accounts","admin/pages/gl_posting.php","23","$glCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $glPlw"";"
"MED_REVIEW","accounts","admin/pages/journal_voucher_reports.php","77","'SELECT ' . $accCols . ' FROM accounts a WHERE 1=1 ORDER BY COALESCE(a.code, \'\'), a.name',"
"BY_ID","accounts","admin/pages/journal_voucher_screen.php","27","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"IMPLICIT_ENTITY","accounts","admin/pages/opening_balances.php","140","INNER JOIN accounts a ON a.id = jl.account_id"
"MED_REVIEW","accounts","admin/pages/partner_account_statement.php","93","$pasAcctSql = ""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere"";"
"BY_ID","accounts","admin/pages/partner_party_voucher_ui.php","39","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","admin/pages/partner_party_voucher_ui.php","55","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","admin/pages/partner_party_voucher_ui.php","84","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","admin/pages/partner_party_voucher_ui.php","110","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"LOW_TREE","accounts","admin/pages/partner_party_voucher_ui.php","175","$ppvCountSql = ""SELECT COUNT(*) FROM accounts a WHERE $ppvLw"";"
"LOW_TREE","accounts","admin/pages/partner_reports.php","27","$prPostingLeafCt = (int) $pdo->query(""SELECT COUNT(*) FROM accounts a WHERE $prLeafWhere"")->fetchCol..."
"BY_ID","accounts","admin/pages/partner_supplier_payment.php","29","$stCash = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","admin/pages/partner_supplier_payment.php","51","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","admin/pages/partner_supplier_payment.php","73","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"BY_ID","accounts","admin/pages/purchase_returns.php","76","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","admin/pages/purchase_returns.php","101","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"SCOPED_WRAPPER","accounts","admin/pages/purchase_returns.php","160","foreach (orange_accounts_fetch($pdo, 'SELECT a.id, a.code, a.name FROM accounts a WHERE 1=1 ORDER BY..."
"BY_ID","accounts","admin/pages/purchases.php","66","$st = $pdo->prepare('SELECT id, code, name FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","admin/pages/purchases.php","88","$chSt = $pdo->prepare(""SELECT id FROM accounts WHERE parent_id IN ($ph) AND id NOT IN ($ph)"");"
"MED_REVIEW","accounts","admin/pages/purchases.php","134","$pv2AcctSql = 'SELECT id, code, name FROM accounts WHERE 1=1';"
"MED_REVIEW","accounts","admin/pages/report_gl_account_monthly.php","21","""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere ORDER BY COALESCE(a.code, ''), a.name""..."
"BY_ID","accounts","admin/pages/report_gl_account_monthly.php","42","$stOne = $pdo->prepare('SELECT code, name FROM accounts WHERE id = ? LIMIT 1');"
"SCOPED_WRAPPER","accounts","admin/pages/report_pl_compare_years.php","20","$accounts = orange_accounts_fetch($pdo, 'SELECT a.id FROM accounts a WHERE 1=1 ORDER BY COALESCE(a.c..."
"MED_REVIEW","accounts","admin/pages/report_pl_monthly.php","133","""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere ORDER BY COALESCE(a.code, ''), a.name""..."
"MED_REVIEW","accounts","admin/pages/report_trial_balance.php","96","$tbAcctSql = ""SELECT a.id, a.name, a.code FROM accounts a WHERE $leafWhere"";"
"LOW_TREE","accounts","admin/pages/suppliers.php","34","'SELECT id FROM accounts WHERE parent_id IN (' . $apPh . ') AND id NOT IN (' . $apPh . ')'"
"MED_REVIEW","accounts","admin/pages/suppliers.php","49","$acctSql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE a.id IN (' . $apPh . ') AND (' . $lw ...."
"MED_REVIEW","accounts","admin/pages/suppliers.php","52","$acctSql = 'SELECT a.id, a.code, a.name FROM accounts a WHERE ' . $lw;"
"BY_ID","accounts","includes/account_tree.php","33","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","includes/account_tree.php","111","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","includes/account_tree.php","141","$st = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","includes/account_tree.php","236","$st = $pdo->prepare('SELECT ' . $sel . ' FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","includes/account_tree.php","459","$sql = ""SELECT COUNT(*) FROM accounts a WHERE $lw"";"
"BY_ID","accounts","includes/account_tree.php","517","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"BY_ID","accounts","includes/account_tree.php","544","$st = $pdo->prepare('SELECT parent_id FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","includes/account_tree.php","592","$parts[] = ""NOT EXISTS (SELECT 1 FROM accounts ch WHERE ch.parent_id = {$alias}.id)"";"
"LOW_TREE","accounts","includes/account_tree.php","626","$pq = $pdo->query('SELECT DISTINCT parent_id FROM accounts WHERE COALESCE(parent_id, 0) > 0');"
"MED_REVIEW","accounts","includes/account_tree.php","682","$sql = 'SELECT a.id, a.code FROM accounts a WHERE a.id IN (' . $ph . ') AND ' . orange_accounts_post..."
"BY_ID","accounts","includes/account_tree.php","709","$sql = 'SELECT a.code FROM accounts a WHERE a.id = ? AND ' . orange_accounts_posting_leaf_where_sql(..."
"LOW_TREE","accounts","includes/account_tree.php","734","$rootSql = ""SELECT code FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)"
"BY_ID","accounts","includes/account_tree.php","759","$pst = $pdo->prepare('SELECT code FROM accounts WHERE id = ? LIMIT 1');"
"LOW_TREE","accounts","includes/account_tree.php","770","'SELECT code FROM accounts WHERE parent_id = ? AND code IS NOT NULL AND code <> \'\''"
"LOW_TREE","accounts","includes/account_tree.php","876","$ch = $pdo->prepare('SELECT COUNT(*) FROM accounts WHERE parent_id = ?');"
"LOW_TREE","accounts","includes/account_tree.php","935","$sql = 'SELECT ' . $cols . ' FROM accounts WHERE (parent_id IS NULL OR parent_id = 0)';"
"MED_REVIEW","accounts","includes/accounting_report_mapping.php","52","$st = $pdo->prepare('SELECT ' . $cols . ' FROM accounts a' . $join . ' WHERE a.id IN (' . $ph . ')')..."
